,precision,recall,f1-score,support
쫄면,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0
찜닭,0.8275862068965517,0.8,0.8135593220338984,30.0
총각김치,0.8235294117647058,0.9333333333333333,0.875,30.0
추어탕,0.8235294117647058,0.4666666666666667,0.5957446808510638,30.0
칼국수,0.6176470588235294,0.7,0.65625,30.0
코다리조림,0.41935483870967744,0.43333333333333335,0.4262295081967213,30.0
콩국수,0.896551724137931,0.8666666666666667,0.8813559322033898,30.0
콩나물국,0.6923076923076923,0.6,0.6428571428571429,30.0
콩나물무침,0.9230769230769231,0.8,0.8571428571428571,30.0
콩자반,0.9310344827586207,0.9,0.9152542372881356,30.0
파김치,0.78125,0.8333333333333334,0.8064516129032258,30.0
파전,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0
편육,0.4583333333333333,0.36666666666666664,0.4074074074074074,30.0
피자,0.7631578947368421,0.9666666666666667,0.8529411764705882,30.0
한과,0.967741935483871,1.0,0.9836065573770492,30.0
해물찜,0.5882352941176471,0.6666666666666666,0.625,30.0
호박전,0.6857142857142857,0.8,0.7384615384615385,30.0
호박죽,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
홍어무침,0.6153846153846154,0.5333333333333333,0.5714285714285714,30.0
황태구이,0.5384615384615384,0.7,0.6086956521739131,30.0
회무침,0.5925925925925926,0.5333333333333333,0.5614035087719298,30.0
후라이드치킨,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
훈제오리,0.59375,0.6333333333333333,0.6129032258064516,30.0
accuracy,0.7437777777777778,0.7437777777777778,0.7437777777777778,0.7437777777777778
macro avg,0.7517671750017102,0.7437777777777778,0.7436442033983123,4500.0
weighted avg,0.7517671750017101,0.7437777777777778,0.7436442033983123,4500.0
